state_i,state_j
CA,AL
IN,AL
UT,AL
GA,AL
DE,AL
NM,AL
ID,AL
MS,AL
OK,AK
NM,AK
FL,AK
WA,AK
MO,AK
OR,AK
MN,AZ
PA,AZ
LA,AZ
CA,AZ
FL,AZ
CO,AZ
ID,AZ
OR,AZ
CO,AR
GA,AR
VA,AR
MN,AR
KY,AR
TX,AR
FL,AR
OK,AR
AZ,AR
NJ,CA
MN,CA
OK,CA
VA,CA
ID,CA
MA,CA
IL,CA
WI,CA
MT,CA
CT,CO
FL,CO
ID,CO
VA,CO
GA,CO
OK,CO
CA,CO
NJ,CO
MA,CO
WA,CO
KY,CO
IA,CO
NC,CT
KS,CT
CA,CT
IL,CT
NE,CT
OK,CT
FL,CT
ID,CT
HI,CT
CO,CT
WA,CT
IL,DE
MT,DE
CA,DE
LA,DE
MN,DE
CO,DE
AK,DE
OR,DE
CT,DE
CO,FL
GA,FL
ME,FL
MN,FL
TN,FL
HI,FL
CA,FL
MT,FL
FL,GA
IL,GA
WV,GA
AZ,GA
MS,GA
KY,GA
WI,GA
AZ,HI
WA,HI
NE,HI
MI,HI
ND,HI
CA,HI
MN,HI
NH,HI
PA,ID
MT,ID
NJ,ID
CA,ID
NE,ID
CO,ID
NM,ID
OH,IL
LA,IL
CO,IL
FL,IL
NJ,IL
WY,IL
VT,IL
RI,IL
WA,IL
CA,IL
AZ,IN
VA,IN
MN,IN
MI,IN
GA,IN
WA,IN
UT,IN
MO,IA
ND,IA
NE,IA
MI,IA
AZ,IA
NV,IA
MN,IA
CO,IA
FL,KS
CO,KS
MA,KS
SD,KS
OR,KS
AZ,KS
OK,KS
ND,KS
WY,KS
CA,KS
CO,KY
MO,KY
TX,KY
GA,KY
CA,KY
MA,KY
WI,KY
IL,KY
NV,KY
VA,LA
CO,LA
WA,LA
AZ,LA
CA,LA
FL,LA
IA,LA
KY,LA
NV,LA
AZ,ME
IN,ME
GA,ME
KY,ME
WA,ME
ND,ME
OH,ME
TN,MD
MI,MD
CA,MD
HI,MD
LA,MD
CO,MD
GA,MD
TX,MD
FL,MA
HI,MA
KY,MA
WI,MA
CA,MA
IL,MA
TX,MA
FL,MI
ID,MI
OH,MI
MD,MI
KY,MI
SC,MI
MN,MI
MT,MI
NY,MI
CA,MN
CO,MN
NV,MN
AR,MN
MT,MN
IL,MN
MO,MN
DE,MN
SD,MS
FL,MS
AR,MS
UT,MS
LA,MS
WV,MS
CA,MS
FL,MO
MD,MO
AZ,MO
WI,MO
CO,MO
WA,MO
MN,MO
KY,MT
CO,MT
MD,MT
WA,MT
MN,MT
FL,MT
VA,MT
GA,MT
OH,MT
IA,NE
MN,NE
NM,NE
AZ,NE
MT,NE
WA,NE
CT,NE
FL,NE
MI,NE
HI,NV
AZ,NV
DE,NV
CO,NV
TX,NV
FL,NV
MN,NV
AK,NV
MS,NV
WY,NH
NJ,NH
CA,NH
GA,NH
FL,NH
MT,NH
NY,NJ
IL,NJ
FL,NJ
GA,NJ
IN,NJ
CA,NJ
HI,NJ
NV,NJ
CO,NJ
WA,NM
LA,NM
RI,NM
WI,NM
VA,NM
CA,NM
VT,NM
OK,NM
MT,NM
CA,NY
KY,NY
VT,NY
MN,NY
OH,NY
IN,NY
WA,NY
AK,NY
NM,NC
CT,NC
WA,NC
CO,NC
MN,NC
CA,NC
AZ,NC
FL,NC
NV,ND
WV,ND
CO,ND
HI,ND
CA,ND
OK,ND
LA,ND
WA,ND
UT,ND
CA,OH
NV,OH
TX,OH
AR,OH
OR,OH
IL,OH
KY,OH
NJ,OH
WA,OH
KS,OK
CT,OK
CO,OK
IL,OK
UT,OK
MN,OK
LA,OK
CA,OK
WY,OK
UT,OR
GA,OR
CA,OR
RI,OR
MN,OR
WA,OR
VA,OR
WA,PA
IL,PA
MI,PA
ME,PA
NE,PA
TN,PA
OR,PA
CA,PA
WA,RI
NV,RI
MI,RI
WY,RI
HI,RI
MA,RI
MN,RI
FL,RI
CA,RI
MI,SC
ID,SC
AZ,SC
KY,SC
GA,SC
MO,SC
MA,SC
FL,SC
ND,SC
VT,SD
LA,SD
IN,SD
DE,SD
CO,SD
KY,SD
CA,SD
ID,SD
ND,SD
CO,TN
MN,TN
NE,TN
CA,TN
OK,TN
MS,TN
WA,TN
NY,TN
KY,TN
ME,TN
FL,TX
IA,TX
UT,TX
KS,TX
WV,TX
CT,TX
OR,TX
ID,TX
GA,TX
VA,UT
CA,UT
AZ,UT
WI,UT
IA,UT
FL,UT
IL,UT
OK,UT
ND,UT
MN,VT
OR,VT
OH,VT
CT,VT
TX,VT
MI,VT
IL,VT
CA,VA
ND,VA
KY,VA
SD,VA
ID,VA
TX,VA
OH,VA
NY,VA
UT,VA
CA,WA
MN,WA
CT,WA
MT,WA
FL,WA
NE,WA
UT,WA
LA,WA
VA,WV
NH,WV
CA,WV
MI,WV
AL,WV
MN,WV
OR,WV
CO,WV
IA,WI
WY,WI
IN,WI
CA,WI
WA,WI
OR,WI
CO,WI
AL,WY
WV,WY
KS,WY
VA,WY
AZ,WY
NJ,WY
WA,WY
MO,WY
